| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 0.3640 s |
| 1 | 2개 | 0.2229 s |
| 1 | 4개 | 0.3110 s |
| 1 | 8개 | 0.4420 s |
| 1 | 12개 | 0.5716 s |
| 1 | 16개 | 0.5859 s |
| 1 | 32개 | 0.5805 s |
| 1 | 64개 | 0.5547 s |
| 1 | 128개 | 0.5622 s |
| 10 | 1개 | 0.3314 s |
| 10 | 2개 | 0.1918 s |
| 10 | 4개 | 0.1002 s |
| 10 | 8개 | 0.0676 s |
| 10 | 12개 | 0.0668 s |
| 10 | 16개 | 0.0684 s |
| 10 | 32개 | 0.0697 s |
| 10 | 64개 | 0.0698 s |
| 10 | 128개 | 0.0701 s |
| 100 | 1개 | 0.3352 s |
| 100 | 2개 | 0.1989 s |
| 100 | 4개 | 0.1006 s |
| 100 | 8개 | 0.0631 s |
| 100 | 12개 | 0.0539 s |
| 100 | 16개 | 0.0541 s |
| 100 | 32개 | 0.0540 s |
| 100 | 64개 | 0.0541 s |
| 100 | 128개 | 0.0557 s |
| 1000 | 1개 | 0.3324 s |
| 1000 | 2개 | 0.1830 s |
| 1000 | 4개 | 0.1038 s |
| 1000 | 8개 | 0.0578 s |
| 1000 | 12개 | 0.0542 s |
| 1000 | 16개 | 0.0539 s |
| 1000 | 32개 | 0.0537 s |
| 1000 | 64개 | 0.0538 s |
| 1000 | 128개 | 0.0547 s |
| 10000 | 1개 | 0.3384 s |
| 10000 | 2개 | 0.1849 s |
| 10000 | 4개 | 0.0994 s |
| 10000 | 8개 | 0.0631 s |
| 10000 | 12개 | 0.0554 s |
| 10000 | 16개 | 0.0555 s |
| 10000 | 32개 | 0.0549 s |
| 10000 | 64개 | 0.0554 s |
| 10000 | 128개 | 0.0556 s |
| 100000 | 1개 | 0.3429 s |
| 100000 | 2개 | 0.1928 s |
| 100000 | 4개 | 0.1078 s |
| 100000 | 8개 | 0.0665 s |
| 100000 | 12개 | 0.0606 s |
| 100000 | 16개 | 0.0578 s |
| 100000 | 32개 | 0.0584 s |
| 100000 | 64개 | 0.0567 s |
| 100000 | 128개 | 0.0585 s |
| 1000000 | 1개 | 0.3357 s |
| 1000000 | 2개 | 0.2153 s |
| 1000000 | 4개 | 0.1454 s |
| 1000000 | 8개 | 0.1142 s |
| 1000000 | 12개 | 0.1117 s |
| 1000000 | 16개 | 0.1002 s |
| 1000000 | 32개 | 0.1060 s |
| 1000000 | 64개 | 0.1099 s |
| 1000000 | 128개 | 0.1122 s |
| 5000000 | 1개 | 0.3355 s |
| 5000000 | 2개 | 0.3385 s |
| 5000000 | 4개 | 0.3364 s |
| 5000000 | 8개 | 0.3384 s |
| 5000000 | 12개 | 0.3394 s |
| 5000000 | 16개 | 0.3399 s |
| 5000000 | 32개 | 0.3399 s |
| 5000000 | 64개 | 0.3402 s |
| 5000000 | 128개 | 0.3367 s |
| 10000000 | 1개 | 0.3366 s |
| 10000000 | 2개 | 0.3451 s |
| 10000000 | 4개 | 0.3386 s |
| 10000000 | 8개 | 0.3420 s |
| 10000000 | 12개 | 0.3418 s |
| 10000000 | 16개 | 0.3432 s |
| 10000000 | 32개 | 0.3421 s |
| 10000000 | 64개 | 0.3415 s |
| 10000000 | 128개 | 0.3430 s |
