| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 26.0572 s |
| 1 | 2개 | 12.6552 s |
| 1 | 4개 | 7.7722 s |
| 1 | 8개 | 10.3723 s |
| 1 | 12개 | 16.1967 s |
| 1 | 16개 | 19.6503 s |
| 1 | 32개 | 20.4663 s |
| 1 | 64개 | 19.9563 s |
| 1 | 128개 | 19.3421 s |
| 10 | 1개 | 23.8627 s |
| 10 | 2개 | 12.5796 s |
| 10 | 4개 | 6.8318 s |
| 10 | 8개 | 4.6423 s |
| 10 | 12개 | 4.2496 s |
| 10 | 16개 | 3.9430 s |
| 10 | 32개 | 4.0375 s |
| 10 | 64개 | 4.0381 s |
| 10 | 128개 | 4.0515 s |
| 100 | 1개 | 24.4172 s |
| 100 | 2개 | 12.6362 s |
| 100 | 4개 | 7.2844 s |
| 100 | 8개 | 4.6360 s |
| 100 | 12개 | 4.1404 s |
| 100 | 16개 | 3.9225 s |
| 100 | 32개 | 3.9523 s |
| 100 | 64개 | 3.9582 s |
| 100 | 128개 | 3.9556 s |
| 1000 | 1개 | 23.5577 s |
| 1000 | 2개 | 12.4719 s |
| 1000 | 4개 | 7.4827 s |
| 1000 | 8개 | 5.0909 s |
| 1000 | 12개 | 4.0631 s |
| 1000 | 16개 | 3.8737 s |
| 1000 | 32개 | 3.9248 s |
| 1000 | 64개 | 3.9472 s |
| 1000 | 128개 | 3.9242 s |
| 10000 | 1개 | 24.8302 s |
| 10000 | 2개 | 13.8454 s |
| 10000 | 4개 | 7.9698 s |
| 10000 | 8개 | 5.5420 s |
| 10000 | 12개 | 4.6389 s |
| 10000 | 16개 | 4.2232 s |
| 10000 | 32개 | 4.2230 s |
| 10000 | 64개 | 4.2251 s |
| 10000 | 128개 | 4.2288 s |
| 100000 | 1개 | 25.0829 s |
| 100000 | 2개 | 13.7112 s |
| 100000 | 4개 | 7.7138 s |
| 100000 | 8개 | 5.3854 s |
| 100000 | 12개 | 4.6481 s |
| 100000 | 16개 | 4.1961 s |
| 100000 | 32개 | 4.2392 s |
| 100000 | 64개 | 4.2430 s |
| 100000 | 128개 | 4.2317 s |
| 1000000 | 1개 | 25.0978 s |
| 1000000 | 2개 | 14.2194 s |
| 1000000 | 4개 | 8.2495 s |
| 1000000 | 8개 | 5.7149 s |
| 1000000 | 12개 | 4.7781 s |
| 1000000 | 16개 | 4.3330 s |
| 1000000 | 32개 | 4.3169 s |
| 1000000 | 64개 | 4.2894 s |
| 1000000 | 128개 | 4.2879 s |
| 5000000 | 1개 | 25.2897 s |
| 5000000 | 2개 | 14.3648 s |
| 5000000 | 4개 | 8.3904 s |
| 5000000 | 8개 | 6.5527 s |
| 5000000 | 12개 | 5.4828 s |
| 5000000 | 16개 | 5.0263 s |
| 5000000 | 32개 | 4.6193 s |
| 5000000 | 64개 | 4.7324 s |
| 5000000 | 128개 | 4.6907 s |
| 10000000 | 1개 | 25.1330 s |
| 10000000 | 2개 | 14.8984 s |
| 10000000 | 4개 | 10.3011 s |
| 10000000 | 8개 | 7.2116 s |
| 10000000 | 12개 | 5.6316 s |
| 10000000 | 16개 | 5.6977 s |
| 10000000 | 32개 | 5.6539 s |
| 10000000 | 64개 | 5.2570 s |
| 10000000 | 128개 | 5.1292 s |
