| CHUNK_SIZE | NUM_THREADS | 평균 수행 시간 (Elapsed Time) |
| :--- | :--- | :--- |
| 1 | 1개 | 10.9429 s |
| 1 | 2개 | 6.4625 s |
| 1 | 4개 | 4.3586 s |
| 1 | 5개 | 4.3891 s |
| 1 | 8개 | 5.6357 s |
| 1 | 10개 | 6.5441 s |
| 1 | 12개 | 7.1993 s |
| 1 | 16개 | 8.1366 s |
| 1 | 32개 | 8.3152 s |
| 1 | 64개 | 8.1475 s |
| 1 | 128개 | 8.1656 s |
| 10 | 1개 | 10.6946 s |
| 10 | 2개 | 6.3307 s |
| 10 | 4개 | 3.5427 s |
| 10 | 5개 | 2.9592 s |
| 10 | 8개 | 1.9745 s |
| 10 | 10개 | 1.6662 s |
| 10 | 12개 | 1.4788 s |
| 10 | 16개 | 1.3618 s |
| 10 | 32개 | 1.3943 s |
| 10 | 64개 | 1.3849 s |
| 10 | 128개 | 1.3823 s |
| 100 | 1개 | 10.7203 s |
| 100 | 2개 | 6.4518 s |
| 100 | 4개 | 3.6164 s |
| 100 | 5개 | 2.9087 s |
| 100 | 8개 | 1.8476 s |
| 100 | 10개 | 1.5517 s |
| 100 | 12개 | 1.4178 s |
| 100 | 16개 | 1.2948 s |
| 100 | 32개 | 1.2956 s |
| 100 | 64개 | 1.2879 s |
| 100 | 128개 | 1.2928 s |
| 1000 | 1개 | 10.6349 s |
| 1000 | 2개 | 6.4948 s |
| 1000 | 4개 | 3.5404 s |
| 1000 | 5개 | 3.1375 s |
| 1000 | 8개 | 2.0038 s |
| 1000 | 10개 | 1.5796 s |
| 1000 | 12개 | 1.4284 s |
| 1000 | 16개 | 1.2819 s |
| 1000 | 32개 | 1.2870 s |
| 1000 | 64개 | 1.2855 s |
| 1000 | 128개 | 1.2892 s |
| 10000 | 1개 | 10.7030 s |
| 10000 | 2개 | 6.7329 s |
| 10000 | 4개 | 3.6189 s |
| 10000 | 5개 | 3.1061 s |
| 10000 | 8개 | 1.9583 s |
| 10000 | 10개 | 1.5889 s |
| 10000 | 12개 | 1.4206 s |
| 10000 | 16개 | 1.2882 s |
| 10000 | 32개 | 1.2885 s |
| 10000 | 64개 | 1.2891 s |
| 10000 | 128개 | 1.2906 s |
| 100000 | 1개 | 10.7009 s |
| 100000 | 2개 | 6.6572 s |
| 100000 | 4개 | 3.5686 s |
| 100000 | 5개 | 3.1712 s |
| 100000 | 8개 | 1.9875 s |
| 100000 | 10개 | 1.6176 s |
| 100000 | 12개 | 1.4573 s |
| 100000 | 16개 | 1.2925 s |
| 100000 | 32개 | 1.2934 s |
| 100000 | 64개 | 1.2944 s |
| 100000 | 128개 | 1.2938 s |
| 1000000 | 1개 | 10.7545 s |
| 1000000 | 2개 | 6.6926 s |
| 1000000 | 4개 | 3.7656 s |
| 1000000 | 5개 | 3.2175 s |
| 1000000 | 8개 | 2.1203 s |
| 1000000 | 10개 | 1.8239 s |
| 1000000 | 12개 | 1.5930 s |
| 1000000 | 16개 | 1.4097 s |
| 1000000 | 32개 | 1.4244 s |
| 1000000 | 64개 | 1.3495 s |
| 1000000 | 128개 | 1.3308 s |
| 5000000 | 1개 | 10.6653 s |
| 5000000 | 2개 | 7.1095 s |
| 5000000 | 4개 | 4.3615 s |
| 5000000 | 5개 | 3.4979 s |
| 5000000 | 8개 | 2.9371 s |
| 5000000 | 10개 | 2.1630 s |
| 5000000 | 12개 | 2.1241 s |
| 5000000 | 16개 | 2.1429 s |
| 5000000 | 32개 | 2.1364 s |
| 5000000 | 64개 | 2.1763 s |
| 5000000 | 128개 | 2.0729 s |
| 10000000 | 1개 | 10.7150 s |
| 10000000 | 2개 | 7.4149 s |
| 10000000 | 4개 | 4.8443 s |
| 10000000 | 5개 | 3.8471 s |
| 10000000 | 8개 | 3.8631 s |
| 10000000 | 10개 | 3.8064 s |
| 10000000 | 12개 | 3.8474 s |
| 10000000 | 16개 | 3.8880 s |
| 10000000 | 32개 | 3.9425 s |
| 10000000 | 64개 | 3.8692 s |
| 10000000 | 128개 | 3.9540 s |
